자전거번호,대여일시,대여 대여소번호,대여 대여소명,대여거치대,반납일시,반납대여소번호,반납대여소명,반납거치대,이용시간(분),이용거리(M),생년,성별,이용자종류,대여대여소ID,반납대여소ID,자전거구분
SPB-39800,2024-06-30 23:02:37,5870,LG트윈타워 앞,0,2024-06-30 23:22:03,00284,센트럴 푸르지오 시티 앞,0,19,3096.88,1997,\N,내국인,ST-3239,ST-1650,일반자전거
SPB-41171,2024-06-30 22:23:21,2159,인헌초교,0,2024-06-30 23:22:03,02159,인헌초교,0,58,4226.45,2008,F,내국인,ST-1156,ST-1156,일반자전거
SPB-50442,2024-06-30 23:10:28,4274,신촌 파랑고래 입구,0,2024-06-30 23:22:04,00119,서강나루 공원,0,11,1487.35,1993,M,내국인,ST-3140,ST-21,일반자전거
SPB-48933,2024-06-30 23:12:11,1118,증미역 3번출구뒤(등촌두산위브센티움오피스텔),0,2024-06-30 23:22:05,01120,대림경동아파트앞,0,9,1354.37,1997,\N,내국인,ST-516,ST-518,일반자전거
SPB-68405,2024-06-30 23:00:03,1019,다성이즈빌아파트(호원대 대각선 맞은편),0,2024-06-30 23:22:06,02622,올림픽공원역 3번출구,0,22,1660.0,\N,M,내국인,ST-502,ST-1720,일반자전거
SPB-54512,2024-06-30 23:13:26,3906,천왕차량사업소 입구,0,2024-06-30 23:22:06,01977,천왕역 1번 출입구 앞,0,8,1350.0,1979,M,내국인,ST-2435,ST-1239,일반자전거
SPB-80159,2024-06-30 23:16:56,502,자양(뚝섬한강공원)역 1번출구 앞,99,2024-06-30 23:22:06,00502,자양(뚝섬한강공원)역 1번출구 앞,99,5,90.0,2002,F,내국인,ST-99,ST-99,새싹자전거
SPB-61971,2024-06-30 22:32:05,3536,중앙농협(자양동),0,2024-06-30 23:22:07,03518,군자역 7번출구뒤,0,50,10800.0,1991,M,내국인,ST-1663,ST-1263,일반자전거
SPB-67512,2024-06-30 23:12:48,4578,보라매sk뷰,0,2024-06-30 23:22:08,00252,보라매역4번출구,0,9,1254.79,2008,M,내국인,ST-2801,ST-300,일반자전거
SPB-37898,2024-06-30 23:14:18,490,가온문화공원,0,2024-06-30 23:22:09,00400,상암한화오벨리스크 1차 앞,0,7,731.11,2002,M,내국인,ST-2149,ST-110,일반자전거
SPB-58152,2024-06-30 22:37:33,643,동대문구민체육센터 (육교아래),0,2024-06-30 23:22:09,01606,태릉입구역 3번출구,0,44,7250.0,1989,M,내국인,ST-410,ST-602,일반자전거
SPB-62238,2024-06-30 23:15:25,2349,역삼빌딩 앞(하나은행 옆),0,2024-06-30 23:22:09,03616,역삼중학교 앞(체육관 방향),0,6,1509.67,1973,M,내국인,ST-959,ST-2680,일반자전거
SPB-59426,2024-06-30 23:11:43,4565,영등포 신세계백화점,0,2024-06-30 23:22:10,00258,신길역3번출구,0,10,1566.95,1984,F,내국인,ST-2815,ST-306,일반자전거
SPB-59543,2024-06-30 23:07:43,3760,발산역 8번 출구,0,2024-06-30 23:22:11,02711,가로공원공영주차장 1번 출구,0,14,5400.0,2003,F,내국인,ST-2538,ST-2027,일반자전거
SPB-45845,2024-06-30 23:16:26,1140,목동사거리 버스정류장,0,2024-06-30 23:22:13,00702,목4동주민센터 옆,0,5,468.94,\N,F,내국인,ST-534,ST-310,일반자전거
SPB-54230,2024-06-30 22:57:13,3511,응봉역 1번출구,0,2024-06-30 23:22:14,00593,자양중앙나들목,0,25,4555.73,1999,M,내국인,ST-1195,ST-980,일반자전거
SPB-69063,2024-06-30 23:20:26,1448,코스트코 상봉점,0,2024-06-30 23:22:14,01448,코스트코 상봉점,0,1,0.0,1984,F,내국인,ST-1099,ST-1099,일반자전거
SPB-60254,2024-06-30 22:59:43,567,성수역 2번출구 앞,0,2024-06-30 23:22:15,03582,화양동 우체국,0,22,1730.0,1968,M,내국인,ST-368,ST-2321,일반자전거
SPB-56837,2024-06-30 22:46:39,1122,황금내근린공원,0,2024-06-30 23:22:15,01132,등촌역 7번출구,0,35,30.0,2000,\N,내국인,ST-520,ST-528,일반자전거
SPB-60515,2024-06-30 23:14:54,3432,종로2가 사거리,0,2024-06-30 23:22:16,00453,종로오가 지하쇼핑센터 14번출구,0,7,1220.0,2001,M,내국인,ST-1829,ST-1606,일반자전거
SPB-64802,2024-06-30 22:53:02,348,독립문역 사거리,0,2024-06-30 23:22:17,00147,마포역 4번출구 뒤,0,29,4514.13,1974,F,내국인,ST-183,ST-205,일반자전거
SPB-36135,2024-06-30 22:56:40,430,장충동먹자골목 앞,0,2024-06-30 23:22:18,01305,성북구청,0,25,5090.1,1997,\N,내국인,ST-1439,ST-947,일반자전거
SPB-65543,2024-06-30 22:37:44,639,서울시립대 후문,0,2024-06-30 23:22:19,00664,서울시립대 건설공학관,0,44,2414.97,1998,M,내국인,ST-406,ST-1758,일반자전거
SPB-59525,2024-06-30 23:09:49,2915,서울과학기술대학교(어학교육원),0,2024-06-30 23:22:19,01684,태릉입구역 5번출구,0,12,2229.25,1996,,내국인,ST-2081,ST-1474,일반자전거
SPB-41689,2024-06-30 23:15:48,3794,안양천합수부(현대3차아파트),0,2024-06-30 23:22:21,01170,강서구보건소,0,6,1117.69,2001,\N,내국인,ST-2553,ST-1507,일반자전거
SPB-70380,2024-06-30 21:31:46,4868,석촌호수 서호 남단,0,2024-06-30 23:22:21,05768,방이삼거리,0,110,1705.09,1983,M,내국인,ST-2833,ST-3214,일반자전거
